frame,x,y,tracked_points,dx,dy,distance,speed_px_per_frame,speed_px_per_second,direction_deg
0,639.9874877929688,337.9624938964844,80,0.0,0.0,0.0,0.0,0.0,0.0
1,639.3473510742188,337.92950439453125,80,-0.64013671875,-0.032989501953125,0.6409862135265717,0.6409862135265717,19.22958640579715,-177.04986684843973
2,638.60205078125,337.76708984375,80,-0.74530029296875,-0.16241455078125,0.762791592117257,0.762791592117257,22.88374776351771,-167.70639899339204
3,637.8245849609375,337.64990234375,80,-0.7774658203125,-0.1171875,0.7862480600360414,0.7862480600360414,23.587441801081244,-171.4283276912238
4,637.0502319335938,337.47198486328125,80,-0.77435302734375,-0.17791748046875,0.7945295720190524,0.7945295720190524,23.835887160571573,-167.06014665555384
5,636.1866455078125,337.29669189453125,80,-0.86358642578125,-0.17529296875,0.881197559964179,0.881197559964179,26.435926798925372,-168.5258476260585
6,635.3310546875,337.171875,80,-0.8555908203125,-0.12481689453125,0.8646472743052174,0.8646472743052174,25.939418229156523,-171.7000201698111
7,634.4075927734375,337.11749267578125,80,-0.9234619140625,-0.05438232421875,0.9250618054548623,0.9250618054548623,27.751854163645866,-176.62976551062488
8,633.5244140625,336.9838562011719,80,-0.8831787109375,-0.133636474609375,0.8932319647209488,0.8932319647209488,26.796958941628464,-171.39567120933702
9,632.5411987304688,336.8416748046875,80,-0.98321533203125,-0.142181396484375,0.9934424687155106,0.9934424687155106,29.803274061465316,-171.7715775524709
10,631.5628662109375,336.7103576660156,80,-0.97833251953125,-0.131317138671875,0.9871062301907186,0.9871062301907186,29.61318690572156,-172.3551399034845
11,630.4319458007812,336.6390686035156,80,-1.13092041015625,-0.0712890625,1.133165082651292,1.133165082651292,33.99495247953876,-176.39305726274338
12,629.3246459960938,336.5696105957031,80,-1.1072998046875,-0.0694580078125,1.1094761251646008,1.1094761251646008,33.28428375493802,-176.41068898939233
13,628.2706909179688,336.4285888671875,80,-1.053955078125,-0.141021728515625,1.0633477486782061,1.0633477486782061,31.900432460346185,-172.3789516461521
